type,start_s,end_s,dur_s,dist_m,v_peak_ms,acc_peak_ms2,dec_peak_ms2,v_start_ms,v_end_ms,start_min
acc,458.7,459.36,0.66,1.24,2.54,2.63,2.01,0.78,2.54,7.64
hsr,467.89,471.79,3.9,25.64,7.03,1.04,-1.47,5.51,5.54,7.8
hsr,559.19,560.23,1.04,6.16,5.66,0.43,-0.31,5.51,5.52,9.32
hsr,560.73,566.83,6.1,40.53,7.63,1.01,-2.29,5.54,5.59,9.35
sprint,563.92,565.95,2.03,15.44,7.63,0.97,-1.27,7.03,7.02,9.4
dec,566.72,567.49,0.77,3.96,5.85,-2.02,-2.54,5.85,3.9,9.45
acc,649.06,650.43,1.37,4.14,4.95,3.93,2.06,0.42,4.95,10.82
hsr,650.76,659.95,9.19,62.74,7.74,1.64,-1.98,5.52,5.56,10.85
sprint,656.54,659.07,2.53,19.32,7.74,0.73,-1.23,7.03,7.07,10.94
acc,839.69,841.5,1.81,7.23,6.64,4.47,2.0,0.37,6.64,13.99
hsr,841.06,847.11,6.05,46.48,8.79,2.65,-1.77,5.58,5.53,14.02
sprint,841.72,846.18,4.46,36.56,8.79,1.56,-1.68,7.01,7.06,14.03
acc,1052.32,1053.36,1.04,2.89,4.05,3.32,2.0,0.85,4.05,17.54
dec,1056.66,1057.49,0.83,2.03,3.39,-2.03,-3.09,3.39,0.98,17.61
acc,1396.78,1397.28,0.5,0.96,2.3,2.5,2.04,0.96,2.3,23.28
dec,1656.99,1657.54,0.55,1.82,3.87,-2.16,-2.99,3.87,2.01,27.62
acc,1760.77,1761.32,0.55,1.56,3.3,2.45,2.09,1.9,3.3,29.35
acc,1785.08,1786.18,1.1,3.0,4.02,3.16,2.02,0.83,4.02,29.75
acc,1788.77,1789.98,1.21,5.57,5.87,2.77,2.03,2.76,5.87,29.81
hsr,1789.81,1793.77,3.96,27.64,7.59,2.2,-2.17,5.5,5.51,29.83
sprint,1790.75,1792.84,2.09,15.83,7.59,0.93,-0.95,7.02,7.0,29.85
acc,1827.32,1827.82,0.5,0.81,2.11,2.54,2.0,0.73,2.11,30.46
acc,1862.25,1863.4,1.15,4.22,5.0,3.14,2.0,1.74,5.0,31.04
dec,1865.22,1866.21,0.99,3.23,4.75,-2.13,-3.88,4.75,1.23,31.09
dec,1948.38,1948.93,0.55,0.98,2.47,-2.03,-2.9,2.47,0.63,32.47
dec,1958.72,1959.27,0.55,1.19,2.65,-2.0,-2.45,2.65,1.21,32.65
acc,1973.24,1974.01,0.77,2.3,3.76,2.82,2.02,1.63,3.76,32.89
dec,1974.72,1975.44,0.72,1.98,4.02,-2.14,-3.97,4.02,1.04,32.91
hsr,2025.93,2027.58,1.65,10.6,6.61,1.52,-2.32,5.51,5.55,33.77
