minute,dist_m,v_max_ms,v_mean_ms,Z1 walk,Z2 jog,Z3 run,Z4 HSR,Z5 sprint,n_acc,n_dec
0,3.0,0.1,0.0,3.0,0.0,0.0,0.0,0.0,0,0
1,3.0,0.2,0.0,3.0,0.0,0.0,0.0,0.0,0,0
2,4.5,0.5,0.1,4.5,0.0,0.0,0.0,0.0,0,0
3,12.7,0.6,0.2,12.7,0.0,0.0,0.0,0.0,0,0
4,6.9,0.4,0.1,6.9,0.0,0.0,0.0,0.0,0,0
5,12.9,0.7,0.2,12.9,0.0,0.0,0.0,0.0,0,0
6,34.2,1.5,0.6,34.2,0.0,0.0,0.0,0.0,0,0
7,79.3,7.0,1.3,7.8,16.1,29.7,21.0,4.6,1,0
8,71.5,1.4,1.2,71.5,0.0,0.0,0.0,0.0,0,0
9,107.1,7.6,1.8,38.3,8.5,13.7,31.2,15.4,0,1
10,117.5,7.7,2.0,49.7,1.7,3.5,43.4,19.3,1,0
11,63.0,5.4,1.1,54.7,4.5,3.8,0.0,0.0,0,0
12,31.8,1.1,0.5,31.8,0.0,0.0,0.0,0.0,0,0
13,6.2,1.4,0.1,6.2,0.0,0.0,0.0,0.0,1,0
14,114.7,8.8,1.9,55.5,5.6,7.1,9.9,36.6,0,0
15,14.0,1.1,0.2,14.0,0.0,0.0,0.0,0.0,0,0
16,23.2,1.4,0.4,23.2,0.0,0.0,0.0,0.0,0,0
17,81.5,5.2,1.4,51.6,15.4,14.5,0.0,0.0,1,1
18,59.9,4.0,1.0,41.9,16.9,1.1,0.0,0.0,0,0
19,39.9,1.5,0.7,39.9,0.0,0.0,0.0,0.0,0,0
20,30.9,2.3,0.5,29.1,1.8,0.0,0.0,0.0,0,0
21,58.0,3.2,1.0,41.7,16.3,0.0,0.0,0.0,0,0
22,20.4,1.3,0.3,20.4,0.0,0.0,0.0,0.0,0,0
23,57.8,4.8,1.0,34.3,13.2,10.3,0.0,0.0,1,0
24,45.6,4.4,0.8,23.2,13.3,9.2,0.0,0.0,0,0
25,24.5,1.4,0.4,24.5,0.0,0.0,0.0,0.0,0,0
26,11.4,1.0,0.2,11.4,0.0,0.0,0.0,0.0,0,0
27,88.5,4.5,1.5,52.6,28.7,7.2,0.0,0.0,0,1
28,128.7,5.6,2.1,39.6,54.1,31.9,3.1,0.0,0,0
29,142.2,7.6,2.4,31.4,60.3,22.9,11.8,15.8,3,0
30,95.3,3.8,1.6,49.2,46.1,0.0,0.0,0.0,1,0
31,114.3,5.6,1.9,40.6,60.5,8.3,4.9,0.0,1,1
32,127.3,4.9,2.1,33.7,67.7,25.8,0.0,0.0,1,3
33,128.4,6.6,2.1,50.1,37.0,24.7,16.5,0.0,0,1
34,69.3,3.0,1.2,53.1,16.2,0.0,0.0,0.0,0,0
35,84.6,3.8,1.4,38.5,46.1,0.0,0.0,0.0,0,1
36,82.7,4.4,1.4,43.3,30.9,8.5,0.0,0.0,0,1
37,55.9,2.8,0.9,47.1,8.8,0.0,0.0,0.0,0,0
38,73.3,4.2,1.2,43.5,27.5,2.3,0.0,0.0,1,0
39,81.9,7.5,1.4,15.5,26.4,13.1,18.9,8.0,2,2
40,80.9,4.8,1.3,34.6,40.3,6.0,0.0,0.0,1,1
41,60.8,2.8,1.0,58.2,2.6,0.0,0.0,0.0,0,0
42,124.0,5.4,2.1,36.1,57.7,30.2,0.0,0.0,3,1
43,86.6,3.3,1.4,51.7,34.9,0.0,0.0,0.0,1,0
